r2_cid,r2_sid
"Sobek     ","Soi       "
"Delft3D   ","Soi       "
"Sobek     ","SoilPass  "
"Delft3D   ","SoilPass  "
"Sobek     ","Dww       "
"Delft3D   ","Dww       "
"Sobek     ","Sew       "
"Delft3D   ","Sew       "
"Sobek     ","Pav       "
"Delft3D   ","Pav       "
"Sobek     ","Unp       "
"Delft3D   ","Unp       "
"Sobek     ","Stw       "
"Delft3D   ","Stw       "
"Sobek     ","Sfw       "
"Delft3D   ","Sfw       "
"DummyConfg","Soi       "
"DummyConfg","SoilPass  "
"DummyConfg","Dww       "
"DummyConfg","Sew       "
"DummyConfg","Pav       "
"DummyConfg","Unp       "
"DummyConfg","Stw       "
"DummyConfg","Sfw       "
"DummyConfg","NatTemp   "
"DummyConfg","IM1       "
"DummyConfg","IM2       "
"DummyConfg","IM3       "
"DummyConfg","IM4       "
"DummyConfg","IM5       "
"DummyConfg","IM6       "
"DummyConfg","CBODu     "
"DummyConfg","NH4       "
"DummyConfg","NO3       "
"DummyConfg","PON1      "
"DummyConfg","PON2      "
"DummyConfg","DON       "
"DummyConfg","PO4       "
"DummyConfg","AAP       "
"DummyConfg","POP1      "
"DummyConfg","POP2      "
"DummyConfg","DOP       "
"DummyConfg","EColi     "
"DummyConfg","FColi     "
"DummyConfg","TColi     "
"DummyConfg","cTR1      "
"DummyConfg","dTR1      "
"DummyConfg","cTR2      "
"DummyConfg","dTR2      "
"DummyConfg","Soi       "
"DummyConfg","SoilPass  "
"DummyConfg","Dww       "
"DummyConfg","Sew       "
"DummyConfg","Pav       "
"DummyConfg","Unp       "
"DummyConfg","Stw       "
"DummyConfg","Sfw       "
"DummyConfg","NatTemp   "
"DummyConfg","IM1       "
"DummyConfg","IM2       "
"DummyConfg","IM3       "
"DummyConfg","IM4       "
"DummyConfg","IM5       "
"DummyConfg","IM6       "
"DummyConfg","CBODu     "
"DummyConfg","NH4       "
"DummyConfg","NO3       "
"DummyConfg","PON1      "
"DummyConfg","PON2      "
"DummyConfg","DON       "
"DummyConfg","PO4       "
"DummyConfg","AAP       "
"DummyConfg","POP1      "
"DummyConfg","POP2      "
"DummyConfg","DOP       "
"DummyConfg","EColi     "
"DummyConfg","FColi     "
"DummyConfg","TColi     "
"DummyConfg","cTR1      "
"DummyConfg","dTR1      "
"DummyConfg","cTR2      "
"DummyConfg","dTR2      "
"DummyConfg","Soi       "
"DummyConfg","SoilPass  "
"DummyConfg","Dww       "
"DummyConfg","Sew       "
"DummyConfg","Pav       "
"DummyConfg","Unp       "
"DummyConfg","Stw       "
"DummyConfg","Sfw       "
"DummyConfg","NatTemp   "
"DummyConfg","IM1       "
"DummyConfg","IM2       "
"DummyConfg","IM3       "
"DummyConfg","IM4       "
"DummyConfg","IM5       "
"DummyConfg","IM6       "
"DummyConfg","CBODu     "
"DummyConfg","NH4       "
"DummyConfg","NO3       "
"DummyConfg","PON1      "
"DummyConfg","PON2      "
"DummyConfg","DON       "
"DummyConfg","PO4       "
"DummyConfg","AAP       "
"DummyConfg","POP1      "
"DummyConfg","POP2      "
"DummyConfg","DOP       "
"DummyConfg","EColi     "
"DummyConfg","FColi     "
"DummyConfg","TColi     "
"DummyConfg","cTR1      "
"DummyConfg","dTR1      "
"DummyConfg","cTR2      "
"DummyConfg","dTR2      "
