procid,procco,procfo,procnm
"EMEP_Nit  ",123,"EMEPNI    ","Calculate atmosheric deposition parameters from EM"
"Soil_Pho  ",123,"SOIPHO    ","Calculate top soil concentrations for a given data"
"Soil_Nit  ",123,"SOINIT    ","Calculate top soil concentrations for a given data"
"InitSoi   ",123,"INISOI    ","Initialize unpaved pool, solid phase              "
"SetFate   ",123,"SETFAT    ","Set process rates for fate modelling              "
"SetSoiKd  ",123,"SOIPRT    ","Set process rates for phosphorus in unpaved       "
"EM_GSS    ",123,"ESPGSS    ","Emission Model for WFLOW - Generic Single Substanc"
"TempDifInf",123,"DIFTEM    ","Diffuse inflow of heat via runoff                 "
"WFLOW_Hydr",123,"HYDRAU    ","WFLOW hydraulic properties                        "
"SedimLink ",123,"SEDLNK    ","Introduce sediments                               "
"EM_BOD    ",123,"EMLGEN    ","Connection to results from EM                     "
"EM_TNI    ",123,"EMLGEN    ","Connection to results from EM                     "
"EM_TPH    ",123,"EMLGEN    ","Connection to results from EM                     "
"EM_TSS    ",123,"EMLGEN    ","Connection to results from EM                     "
"EM_COL    ",123,"EMLGEN    ","Connection to results from EM                     "
"EM_TRA    ",123,"EMLGEN    ","Connection to results from EM                     "
